week_start_date,tv_spend,digital_spend,promotions_spend,weekly_sales
2025-01-20,27828.01,8896.37,915.09,145953.68
2025-01-27,5735.04,10578.3,382.66,140724.41
2025-02-03,28680.8,7690.05,938.22,139881.07
2025-02-10,20269.13,7591.31,480.74,130779.61
2025-02-17,16262.44,4943.14,14011.16,144382.69
2025-02-24,24778.32,5314.19,599.51,142389.14
2025-03-03,32043.73,2025.9,1028.14,136126.45
2025-03-10,18044.54,4499.36,34.84,122287.72
2025-03-17,37611.96,5426.14,600.09,137891.14
2025-03-24,26340.13,5261.77,1312.66,141951.39
2025-03-31,16950.33,6267.73,915.34,136263.98
2025-04-07,11777.67,11563.55,665.91,139416.38
2025-04-14,15291.56,10277.32,11342.49,154333.52
2025-04-21,30891.21,8851.3,1280.98,152884.17
2025-04-28,0.0,9555.79,483.32,131326.4
2025-05-05,5520.0,10275.25,816.82,130226.16
2025-05-12,11484.53,2476.51,734.74,132362.89
2025-05-19,14248.14,2429.75,19484.86,133145.07
2025-05-26,26946.21,2546.0,501.17,130711.92
2025-06-02,0.0,6675.16,366.31,125999.32
2025-06-09,22161.58,5185.77,1369.01,135380.61
2025-06-16,5861.25,7342.55,1385.81,132540.54
2025-06-23,14577.6,5554.08,1264.98,129496.84
2025-06-30,23886.13,7222.82,1467.31,133078.26
2025-07-07,20652.16,11291.27,21497.2,142442.9
2025-07-14,14459.1,11169.93,1147.0,137285.72
2025-07-21,26762.51,11835.13,1143.89,144200.65
2025-07-28,14636.48,9547.11,720.91,130370.48
2025-08-04,19748.99,8901.47,684.68,128999.33
2025-08-11,21254.07,7022.45,360.34,118070.82
2025-08-18,28077.17,6679.68,12515.83,133628.97
2025-08-25,18089.23,5815.81,433.98,123843.0
2025-09-01,5489.14,1285.27,386.71,99118.13
2025-09-08,12759.85,788.03,878.94,98085.71
2025-09-15,12832.73,7920.52,614.97,105794.9
2025-09-22,20880.88,9900.28,328.28,105384.96
2025-09-29,14291.1,7556.87,23390.14,124704.59
2025-10-06,12522.81,7293.5,1290.85,129398.92
2025-10-13,22308.29,11399.3,251.55,121695.83
2025-10-20,9968.24,12678.91,11.26,114074.54
2025-10-27,13372.1,13276.59,504.19,120473.83
2025-11-03,11900.41,9486.15,21074.17,136800.27
2025-11-10,4389.02,6224.75,1258.76,124632.44
2025-11-17,18873.25,3828.07,207.49,121980.71
2025-11-24,0.0,4539.81,1161.5,120976.11
2025-12-01,21460.69,3818.36,173.56,113385.12
2025-12-08,30369.96,3161.99,585.09,125006.92
2025-12-15,5954.36,9961.14,1497.91,136654.39
2025-12-22,16100.32,11131.67,11741.32,143645.91
